ZUT20010	CONN_CDMU_FE_2			3	4				N	R	ZUKT0003TM	F	N									
ZUT20011	CONN_CDMU_BB_IF_3_TC			3	4				N	R	ZUKT0003TM	F	N									
ZUT20012	CONN_CDMU_BB_IF_3_CTRL			3	4				N	R	ZUKT0003TM	F	N									
ZUT20013	PFCU_A_LADU_LINK			3	4				N	R	ZUKT0004TM	F	N									
ZUT20014	PFCU_B_LADU_LINK			3	4				N	R	ZUKT0004TM	F	N									
ZUT20015	PLCU_A_LADU_LINK			3	4				N	R	ZUKT0004TM	F	N									
ZUT20016	PLCU_B_LADU_LINK			3	4				N	R	ZUKT0004TM	F	N									
ZUT20017	PLCU_A_PLMU_LINK			3	4				N	R	ZUKT0004TM	F	N									
ZUT20018	PLCU_B_PLMU_LINK			3	4				N	R	ZUKT0004TM	F	N									
ZUT20019	CONN_LPPS_GEN			3	4				N	R	ZUKT0003TM	F	N									
ZUT20020	LPPS_STATUS_PFCU_A			3	4				N	R	ZUKT0004TM	F	N									
ZUT20021	LPPS_STATUS_PFCU_B			3	4				N	R	ZUKT0004TM	F	N									
ZUT20022	LPPS_STATUS_PLCU_A			3	4				N	R	ZUKT0004TM	F	N									
ZUT20023	LPPS_STATUS_PLCU_B			3	4				N	R	ZUKT0004TM	F	N									
ZUT20024	PFCU_PWR_A_STATUS			3	4				N	R	ZUKT0006TM	F	N									
ZUT20025	PFCU_PWR_A_VOLT			5	1				N	R		F	N									
ZUT20026	PFCU_PWR_A_CURR			5	1				N	R		F	N									
ZUT20027	PFCU_PWR_A_OTIME			8	12				N	R		F	N									
ZUT20028	PFCU_TM_STATUS_A			3	4				N	R	ZUKT0007TM	F	N									
ZUT20029	PFCU_PWR_B_STATUS			3	4				N	R	ZUKT0006TM	F	N									
ZUT20030	PFCU_PWR_B_VOLT			5	1				N	R		F	N									
ZUT20031	PFCU_PWR_B_CURR			5	1				N	R		F	N									
ZUT20032	PFCU_PWR_B_OTIME			8	12				N	R		F	N									
ZUT20033	PFCU_TM_STATUS_B			3	4				N	R	ZUKT0007TM	F	N									
ZUT20034	PLCU_PWR_A_STATUS			3	4				N	R	ZUKT0006TM	F	N									
ZUT20035	PLCU_PWR_A_VOLT			5	1				N	R		F	N									
ZUT20036	PLCU_PWR_A_CURR			5	1				N	R		F	N									
ZUT20037	PLCU_PWR_A_OTIME			8	12				N	R		F	N									
ZUT20038	PLCU_POWER_STATUS_A			3	4				N	R	ZUKT0007TM	F	N									
ZUT20039	PLCU_PWR_B_STATUS			3	4				N	R	ZUKT0006TM	F	N									
ZUT20040	PLCU_PWR_B_VOLT			5	1				N	R		F	N									
ZUT20041	PLCU_PWR_B_CURR			5	1				N	R		F	N									
ZUT20042	PLCU_PWR_B_OTIME			8	12				N	R		F	N									
ZUT20043	PLCU_POWER_STATUS_B			3	4				N	R	ZUKT0007TM	F	N									
ZUT30001	SID			3	12				N	R	ZUKT0001TM	F	N									
ZUT30002	Mode			3	4				N	R	ZUKT0002TM	F	N									
ZUT30003	CONN_NAVPL_CC			3	4				N	R	ZUKT0003TM	F	N									
ZUT30004	CONN_NAVPL_HKTM			3	4				N	R	ZUKT0003TM	F	N									
ZUT30005	CONN_NAVPL_FE_3			3	4				N	R	ZUKT0003TM	F	N									
ZUT30006	SPW_NAVPL_MAX08_LINK			3	4				N	R	ZUKT0005TM	F	N									
ZUT30007	SPW_NAVPL_MAX09_LINK			3	4				N	R	ZUKT0005TM	F	N									
ZUT30008	SPW_NAVPL_MAX10_LINK			3	4				N	R	ZUKT0005TM	F	N									
ZUT30009	SPW_NAVPL_MAX11_LINK			3	4				N	R	ZUKT0005TM	F	N									
