1	GSID___1
2	GSID___2
3	GSID___3
4	GSID___4
5	NDIU
6	GSID___6
7	GSID___7
8	GSID___8
9	CIVETT
10	REDU
13	VILSPA-1
18	MALINDI
21	KOUROU
22	PERTH
28	KIRUNA
123	DSS16
124	DSS24
128	ESOC OCC
11111	GSID1110
