1	S2KTM001	98
2	S2KTM002	98
3	S2KTM003	98
4	S2KTM004	98
5	S2KTM005	102
6	S2KTM006	104
7	S2KTM007	104
8	S2KTM008	102
9	S2KTM009	102
10	S2KTM010	98
11	S2KTM011	102
12	S2KTM012	104
13	S2KTM013	104
14	S2KTM014	102
15	S2KTM015	102
16	S2KTM016	98
17	S2KTM017	102
18	S2KTM018	104
19	S2KTM019	104
20	S2KTM020	102
21	S2KTM021	102
22	S2KTM022	98
23	S2KTM023	102
24	S2KTM024	104
25	S2KTM025	104
26	S2KTM026	102
27	S2KTM027	102
28	S2KTM028	98
29	S2KTM029	98
30	S2KTM030	98
31	S2KTM031	102
32	S2KTM032	102
33	S2KTM033	98
34	S2KTM034	98
35	S2KTM035	98
36	S2KTM036	98
37	S2KTM037	98
38	S2KTM038	98
39	S2KTM039	98
40	S2KTM040	98
41	S2KTM041	98
42	S2KTM042	98
43	S2KTM043	98
44	S2KTM044	98
45	S2KTM045	0
46	S2KTM046	0
47	S2KTM047	0
48	S2KTM048	0
49	S2KTM049	0
50	S2KTM050	0
51	S2KTM051	128
52	S2KTM052	146
53	S2KTM053	178
54	S2KTM054	174
55	S2KTM055	0
56	S2KTM056	104
57	S2KTM057	0
58	S2KTM058	0
59	S2KTM059	98
60	S2KTM060	98
61	S2KTM061	98
62	S2KTM062	98
63	S2KTM063	98
64	S2KTM064	98
65	S2KTM065	98
66	S2KTM066	98
67	S2KTM067	0
68	S2KTM068	0
69	S2KTM069	106
70	S2KTM070	104
71	S2KTM071	90
72	S2KTM072	0
73	S2KTM073	0
74	S2KTM074	0
75	S2KTM075	0
76	S2KTM076	0
77	S2KTM077	0
78	S2KTM078	1120
79	S2KTM079	1120
80	S2KTM080	1120
81	S2KTM081	0
82	S2KTM082	1120
83	S2KTM083	0
84	S2KTM084	0
85	S2KTM085	0
86	S2KTM086	0
87	S2KTM087	0
88	S2KTM088	0
89	S2KTM089	0
90	S2KTM090	0
91	S2KTM091	0
92	S2KTM092	0
93	S2KTM093	0
94	S2KTM094	0
95	S2KTM095	0
96	S2KTM096	0
97	S2KTM097	0
98	S2KTM098	0
99	S2KTM099	0
100	S2KTM100	94
101	S2KTM101	222
102	S2KTM000	166
103	S2KTM103	102
104	S2KTM104	102
105	S2KTM105	0
106	S2KTM106	0
107	S2KTM107	0
108	S2KTM108	0
109	S2KTM109	0
110	S2KTM110	98
111	S2KTM111	102
112	S2KTM112	98
113	S2KTM113	96
114	S2KTM114	96
120	S2KTM120	0
121	S2KTM121	0
122	S21KTM122	0
167	S2KTM167	170
168	S2KTM168	170
333	S2KTM3E9	100
930	UNKNOWN	0
979	S2KTM979	86
980	S2KTM980	192
2147483647	S2KTM2E9	188
1000006	GOOD TF	0
1000004	" IDLE TF"	0
154001	TM(1,1)	0
154002	TM(1,2)	0
154003	TM(1,7)	0
154004	TM(1,8)	0
