0	0	-1	0	-1	0
1	4	-1	0	-1	0
1	5	-1	0	-1	0
1	6	-1	0	-1	0
1	7	-1	0	-1	0
1	1	-1	0	-1	0
1	3	-1	0	-1	0
1	2	21	16	-1	0
1	8	21	16	-1	0
3	12	-1	0	-1	0
3	10	-1	0	-1	0
3	16	-1	0	-1	0
3	26	-1	0	-1	0
3	15	-1	0	-1	0
3	25	16	8	-1	0
4	9	-1	0	-1	0
4	2	-1	0	-1	0
5	1	16	16	-1	0
5	2	16	16	-1	0
5	3	16	16	-1	0
5	4	16	16	-1	0
6	4	-1	0	-1	0
6	6	-1	0	-1	0
6	10	16	8	-1	0
6	8	16	8	-1	0
9	2	-1	0	-1	0
11	10	-1	0	-1	0
11	19	-1	0	-1	0
11	13	-1	0	-1	0
12	9	-1	0	-1	0
12	11	-1	0	-1	0
12	12	-1	0	-1	0
13	7	-1	0	-1	0
13	3	-1	0	-1	0
13	16	-1	0	-1	0
13	2	-1	0	-1	0
13	1	-1	0	-1	0
13	4	-1	0	-1	0
13	14	-1	0	-1	0
13	15	-1	0	-1	0
14	16	-1	0	-1	0
14	8	-1	0	-1	0
14	12	-1	0	-1	0
14	4	-1	0	-1	0
15	8	-1	0	-1	0
15	13	-1	0	-1	0
15	6	-1	0	-1	0
17	2	-1	0	-1	0
17	3	20	8	21	8
18	9	-1	0	-1	0
18	11	-1	0	-1	0
19	7	-1	0	-1	0
254	255	99	32	103	32
